SIFRA,"IME_VOLISCA"
106038,"Sp. Jezersko, Gostilna Kanonir, Sp. Jezersko 5"
106039,"Zg. Jezersko, Korotan, Zgornje Jezersko 57"
106040,"Hotemaže, Vaški gasilski dom, Hotemaže 80"
107001,"Bistrica I, Osnovna šola Bistrica, Begunjska c. 2"
107002,"Bistrica II, Dom Petra Uzarja, Ročevnica 58"
107003,"Brezje, Dom krajanov, Brezje pri Tržiču 55, Tržič"
107004,"Jelendol, Dom krajanov, Jelendol 8, Tržič"
107005,"Kovor, Krajevna skupnost, Glavna cesta 24, Kovor"
107006,"Križe, Osnovna šola Križe, C. Kokrškega odreda 16"
107007,"Leše, Gasilski dom Leše, Leše 3, Tržič"
107008,"Lom pod Storžičem,Dom krajanov,Lom pod Storžič.56"
107009,"Podljubelj, Dom krajanov, Podljubelj 242, Tržič"
107010,"Pristava, Fundacija V.Drakslerja, Pristavška c.16"
107011,"Ravne,Krajevna skupnost Ravne, Pot na Zali Rovt 3"
107012,"Sebenje, Dom krajanov, Sebenje 43, Križe"
107013,"Senično, Krajevna skupnost, Senično 30, Križe"
107014,"Tržič I,Galerija Atrij Občine Tržič,Trg svobode18"
107015,"Tržič II, Društvo upokojencev Tržič,Trg svobode18"
108001,"Krajevna skupnost Godešič, Godešič 100, Šk. Loka"
108002,"Gasilski dom Virmaše, Virmaše 14, Škofja Loka"
108003,"Kulturni dom Sv. Duh, Sv. Duh 10, Škofja Loka"
108004,"OŠ Škofja Loka-Mesto, Šolska ulica 1, Šk. Loka"
108005,"Prostori Društva upokojencev,Partizanska c.1a,Š.L"
108006,"Gasilski dom Škofja Loka, Studenec 5"
108007,"Osnovna šola Reteče, Reteče 43, Škofja Loka"
108008,"OŠ Cvetko Golar I., Frankovo naselje 51, Šk. Loka"
108009,"OŠ Cvetko Golar II., Frankovo naselje 51,Šk.Loka"
108010,"OŠ Cvetko Golar III., Frankovo naselje 51,Šk.Loka"
108011,"Gasilski dom Gosteče, Gosteče 10, Škofja Loka"
108012,"OŠ Ivana Groharja, Podlubnik 1, Škofja Loka"
108013,"Sokolski dom Škofja Loka, Mestni trg 17, Šk. Loka"
108014,"Puštalski grad, Puštal 21, Škofja Loka"
108015,"Trgovina kmečki stroji, Sv. Barbara 23, Šk. Loka"
108016,"Krajevna skupnost Podlubnik, Podlubnik 139"
108018,"Tržnica Škofja Loka, Partizanska cesta 1, Šk.Loka"
108020,"Zadružni dom Log nad Škofjo Loko, Log nad Šk.L.31"
108021,"Šola Gabrk, Gabrk 1, Škofja Loka"
108022,"Zadružni dom Zminec, Zminec 35, Škofja Loka"
